facility_name,facility_type,county,latitude,longitude,open_year
Buffalo Center for Rehabilitation and Nursing,nursing home,Erie,42.911777,-78.870277,1980
"Safire Rehabilitation of Southtowns, LLC",nursing home,Erie,42.832058,-78.810432,1989
Our Lady of Mercy Life Center,nursing home,Albany,42.701206,-73.904831,1993
Eye Health Associates Inc,clinic,Erie,42.991451,-78.781418,2000
East Hill Family Medical Inc.,clinic,Cayuga,42.930389,-76.568802,2001
Griffiss Surgery Center,clinic,Oneida,43.209602,-75.413391,2012
U.S. Renal Care Williamsville Dialysis Center,clinic,Erie,42.98333,-78.697006,2012
Oneida Healthcare Imaging at OOS,hospital,Madison,43.078629,-75.658684,2011
OMNI Surgery Center,clinic,Oneida,43.086676,-75.280007,2015
University Hospital Screening Van,hospital,Onondaga,43.008891,-76.167865,2019
Vna Home Care Services,other,Erie,42.9392,-78.7154,1998
St Mary's Fulton County Day Rehabilitation,hospital,Montgomery,43.052471,-74.344215,1996
Newark Health Center,hospital,Wayne,43.060444,-77.099724,1982
Planned Parenthood of Central and Western New York,clinic,Monroe,43.11468,-77.59797,1934
Sunnyview Therapy Services,hospital,Schenectady,42.860389,-73.934439,2014
Hutchings Psychiatric Center,hospital,Onondaga,43.04533,-76.139816,1984
Rochester Hearing and Speech Center - Greece Office,clinic,Monroe,43.211449,-77.71431,1922
RPCI Amherst Center,hospital,Erie,42.959019,-78.725639,2006
St Peters Hospital-SPARC,hospital,Albany,42.638474,-73.763504,2003
NFMMC-Medical Office Building,hospital,Niagara,43.094025,-79.050552,2000
Nursecore Of Syracuse,other,Onondaga,43.081853,-76.123653,2003
"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",nursing home,Erie,42.768101,-78.623482,1989
CenterWell Home Health,other,Onondaga,43.107172,-76.186207,1987
Innovative Care Llc,other,Monroe,43.143638,-77.727423,
Kaleida Health Family Planning Center,hospital,Erie,42.90364,-78.86898,1998
U.S. Renal Care Herkimer Dialysis,clinic,Herkimer,43.02722,-74.98299,2023
Park Ridge Professional Building,hospital,Monroe,43.191257,-77.701546,
Crossroads,other,Onondaga,43.043891,-76.154899,1984
Clifton Springs Family Medicine,hospital,Wayne,43.046654,-77.093529,2012
Oak Orchard Health at OCMH,clinic,Orleans,43.241343,-78.172912,2020
"Elderchoice, Inc.",other,Oneida,43.054329,-75.27922,2014
Cornerstone Urgent Care Center,clinic,Monroe,43.115259,-77.729796,
Bishop Rehabilitation and Nursing Center,nursing home,Onondaga,43.057522,-76.137817,
KabaFusion HH,other,Albany,42.7164,-73.84222,2020
Terrace View Long Term Care Facility,nursing home,Erie,42.92717,-78.829224,1982
Delaware Oaks Center For Rehabilitation and Nursing,nursing home,Erie,42.916603,-78.868782,1980
Hospice of Central New York/Hospice and Palliative Care Associates/Hospice of the Finger Lakes,other,Onondaga,43.099258,-76.181641,1985
Palatine Nursing Home,nursing home,Montgomery,42.920784,-74.570427,1979
Riverside Family Medical Group,hospital,Albany,42.734126,-73.696086,2003
University Dialysis Center,clinic,Onondaga,43.047257,-76.132479,1992
Mount St. Mary's Hospital Rehab Services,hospital,Niagara,43.127529,-79.016502,2002
Bivona Child Advocacy Center,hospital,Monroe,43.149251,-77.607117,2004
Samaritan OB/GYN,hospital,Albany,42.746944,-73.758889,2009
The Unity Hospital of Rochester,hospital,Monroe,43.191551,-77.701538,1894
Urology Practice Wayne Medical Group,hospital,Wayne,43.059616,-77.100792,2009
Albany Medical Center Hospital,hospital,Albany,42.65337,-73.773834,
Eddy Senior Care,other,Schenectady,42.779328,-73.955685,2004
Rochester Presbyterian Home,other,Monroe,43.139953,-77.650291,
KabaFusion HH,other,Monroe,43.04645,-77.469894,
Crouse Community Center Inc,nursing home,Madison,42.89389,-75.638451,1991
Adirondack Manor HFA D.B.A. Willow Park HFA,other,Oneida,43.106708,-75.169979,1997
Panorama Internal Medicine,hospital,Monroe,43.132336,-77.438455,
MVHS Regional Cancer Office,hospital,Oneida,43.226517,-75.427368,1999
Northtowns Dialysis Center,clinic,Erie,42.994198,-78.874153,1999
Niagara Falls Memorial Medical Center Mobile Van,hospital,Niagara,43.09395,-79.04963,2021
Sunnyview Therapy Services,hospital,Albany,42.615,-73.8517,2022
Culver Medical Group,hospital,Monroe,43.161713,-77.565269,
Unlimited Care Inc.,other,Albany,42.716765,-73.804639,2015
"Endoscopy Center of Western New York, LLC",clinic,Erie,42.99139,-78.786018,2004
Highpointe on Michigan Health Care Facility,nursing home,Erie,42.900936,-78.86274,1984
Rochester Pathways,hospital,Monroe,43.11307,-77.61803,
Keepsake Village at Greenpoint,other,Onondaga,43.084225,-76.179787,1998
Sisters Health Center Amherst,hospital,Erie,43.02816,-78.806714,1993
UPSTATE Cancer Center at Verona,hospital,Oneida,43.13163,-75.57853,2024
"Mount St. Mary's Ambulatory Campus, a Department of Mount St. Mary's Hospital and Health Center",hospital,Niagara,43.139423,-78.696808,1991
St Peters Hospital-SPARC,hospital,Schenectady,42.76989,-73.937347,2003
Monroe Community Hospital,nursing home,Monroe,43.112251,-77.616165,1933
Buffalo Elementary School of Technology,hospital,Erie,42.879992,-78.859916,1997
Taylor-Brown Health Center,hospital,Seneca,42.901783,-76.846703,1991
"North Brook Heights Home For Adults, Inc.",other,Cayuga,42.950234,-76.554798,2001
Outpatient Oncology Clinic,hospital,Monroe,43.067722,-77.629646,
Foltsbrook Center for Senior Living,other,Herkimer,43.026921,-74.984399,1998
Jericho Road Community Health Center,clinic,Erie,42.893136,-78.83663,2018
Outpatient Clinic-Building F,hospital,Monroe,43.112476,-77.596073,
Newfane Rehab & Health Care Center,nursing home,Niagara,43.28307,-78.696739,1989
Behavioral Health Clinic,hospital,Erie,42.901447,-78.686363,2013
Oneida Center for Rehabilitation and Nursing,nursing home,Oneida,43.093094,-75.242401,1995
Sunnyview-Carman Rd Ext Clinic,hospital,Schenectady,42.725334,-73.936882,2001
Morrisville Adult Day Health,other,Madison,42.8907,-75.635739,2023
Calkins Creek Family Medicine,hospital,Monroe,43.066147,-77.629448,
Venture Forthe INC,other,Onondaga,43.06009,-76.06783,2024
St. Peter's Hospital,hospital,Albany,42.657539,-73.803879,
Mercy Hospital Skilled Nursing Facility,nursing home,Erie,42.827366,-78.820946,
St. Peter's Sleep Center,hospital,Albany,42.712174,-73.867815,1998
Montgomery Co Public Health Department,clinic,Montgomery,42.952969,-74.373688,1979
Schenectady Center for Rehabilitation and Nursing,nursing home,Schenectady,42.792469,-73.933044,1989
HIV Medicine Clinic of AMCH,hospital,Albany,42.647969,-73.777321,2019
Oak Orchard Community Health Center,clinic,Orleans,43.319138,-78.388695,2009
"Buffalo Surgery Center,LLC",clinic,Erie,42.978713,-78.788207,2000
